,Qvalue,action,light,oncoming,waypoint
0,-3.93524125131,parado,green,parado,right
1,0.831612680672,left,green,parado,right
2,0.00231457720908,right,green,parado,right
3,0.793481802912,forward,green,parado,right
4,2.57383342837,parado,red,forward,left
5,-9.2085972407,left,red,forward,left
6,0.00505230940149,right,red,forward,left
7,-9.6406442629,forward,red,forward,left
8,2.45749280891,parado,red,left,left
9,-8.74183096044,left,red,left,left
10,0.00659670916437,right,red,left,left
11,-8.37706430416,forward,red,left,left
12,1.64669372008,parado,green,left,left
13,2.38561359315,left,green,left,left
14,0.00730010717222,right,green,left,left
15,0.956102021295,forward,green,left,left
16,-3.23862750524,parado,green,parado,left
17,3.61582534553,left,green,parado,left
18,0.00907945365313,right,green,parado,left
19,2.36285879362,forward,green,parado,left
20,-3.74474026673,parado,green,forward,left
21,-18.5721131976,left,green,forward,left
22,0.00133503856734,right,green,forward,left
23,2.80827244861,forward,green,forward,left
24,3.71306837192,parado,red,parado,left
25,-8.77357393033,left,red,parado,left
26,0.00632391158912,right,red,parado,left
27,-9.80587244042,forward,red,parado,left
28,3.41811523114,parado,red,parado,forward
29,-9.53519307682,left,red,parado,forward
30,0.00836787038178,right,red,parado,forward
31,-7.9178682238,forward,red,parado,forward
32,3.27503137384,parado,red,forward,forward
33,-8.53018453381,left,red,forward,forward
34,0.00525881350445,right,red,forward,forward
35,-7.17176803064,forward,red,forward,forward
36,-2.74435505213,parado,green,forward,forward
37,-16.919744069,left,green,forward,forward
38,0.00967983718477,right,green,forward,forward
39,4.18871040673,forward,green,forward,forward
40,-3.44859368783,parado,green,parado,forward
41,1.77956596545,left,green,parado,forward
42,0.00897915699568,right,green,parado,forward
43,2.6252558348,forward,green,parado,forward
44,1.82134222843,parado,red,right,forward
45,-37.745982894,left,red,right,forward
46,0.00187680096622,right,red,right,forward
47,-7.3757269133,forward,red,right,forward
48,1.94156371132,parado,green,left,forward
49,1.19224520565,left,green,left,forward
50,0.0034549257842,right,green,left,forward
51,3.25957463247,forward,green,left,forward
52,2.44897781669,parado,red,left,right
53,-8.31778607744,left,red,left,right
54,0.00300630951687,right,red,left,right
55,-8.84829272078,forward,red,left,right
56,1.20657624962,parado,green,left,right
57,0.837033267728,left,green,left,right
58,0.000584352380188,right,green,left,right
59,0.206255821569,forward,green,left,right
60,3.57975697735,parado,red,parado,right
61,-39.0399535576,left,red,parado,right
62,0.00544853288348,right,red,parado,right
63,-39.0725628198,forward,red,parado,right
64,1.80207028913,parado,red,right,right
65,-40.7900802493,left,red,right,right
66,0.00264113164258,right,red,right,right
67,-9.56440337257,forward,red,right,right
68,0.00819995679472,parado,green,right,right
69,-17.8892628416,left,green,right,right
70,0.00823424107922,right,green,right,right
71,1.77292089783,forward,green,right,right
72,-2.80879399576,parado,green,right,left
73,-17.7840730605,left,green,right,left
74,0.00640949197696,right,green,right,left
75,0.118869820422,forward,green,right,left
76,2.89991871712,parado,red,left,forward
77,-7.4659449109,left,red,left,forward
78,0.992646434748,right,red,left,forward
79,-8.53912704846,forward,red,left,forward
80,3.58999473319,parado,red,forward,right
81,-8.53329677055,left,red,forward,right
82,0.00875437972071,right,red,forward,right
83,-9.10834566238,forward,red,forward,right
84,3.55093836345,parado,red,right,left
85,0.00138643592694,left,red,right,left
86,0.00786103427754,right,red,right,left
87,-7.71622165957,forward,red,right,left
88,-3.12214003926,parado,green,forward,right
89,-19.541759723,left,green,forward,right
90,0.00178184852975,right,green,forward,right
91,2.51106713346,forward,green,forward,right
92,-4.54382243881,parado,green,right,forward
93,0.000328671169987,left,green,right,forward
94,0.00742895496552,right,green,right,forward
95,2.5776533357,forward,green,right,forward
